request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 on 2024-12-05. The projected balance stays above the INR 147800 minimum.
request_203,1442.1,affordable_now,full_payment,2025-05-07:1442.1,2025-05-07,none,Pay EUR 1442.1 on 2025-05-07. The projected balance stays above the EUR 1400 minimum.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 on 2026-01-04. The projected balance stays above the EUR 1300 minimum.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 on 2024-03-06. The projected balance stays above the IDR 13994300 minimum.
request_206,1404.7,affordable_now,full_payment,2025-08-03:1404.7,2025-08-03,none,Pay EUR 1404.7 on 2025-08-03. The projected balance stays above the EUR 900 minimum.
request_207,11830,affordable_now,full_payment,2026-07-05:11830,2026-07-05,none,Pay ZAR 11830 on 2026-07-05. The projected balance stays above the ZAR 13600 minimum.
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Pay IDR 4413000 on 2024-06-07. The projected balance stays above the IDR 10470700 minimum.
request_209,9441.81,not_affordable,not_recommended,none,,reduce_to:event_19261:0,Do not make this payment within the forecast. No available plan keeps the ZAR 18400 minimum protected.
request_210,1360.02,affordable_now,full_payment,2026-04-06:1360.02,2026-04-06,none,Pay USD 1360.02 on 2026-04-06. The projected balance stays above the USD 2000 minimum.
request_211,1317.87,affordable_with_plan,partial_payment,2024-09-03:1317.87|2024-11-15:470.73,2024-11-15,reduce_to:event_19421:0,Pay EUR 1317.87 now and the remaining amount by 2024-11-15.
request_212,24023726.08,affordable_with_plan,partial_payment,2025-02-05:24023726.08|2025-02-28:47910273.92,2025-02-28,reduce_to:event_19457:0,Pay IDR 24023726.08 now and the remaining amount by 2025-02-28.
request_213,3362.4,affordable_now,full_payment,2026-01-07:3362.4,2026-01-07,none,Pay USD 3362.4 on 2026-01-07. The projected balance stays above the USD 2100 minimum.
request_214,69750,affordable_now,full_payment,2024-12-04:69750,2024-12-04,none,Pay INR 69750 on 2024-12-04. The projected balance stays above the INR 174900 minimum.
request_215,29986,affordable_now,full_payment,2025-05-06:29986,2025-05-06,none,Pay ZAR 29986 on 2025-05-06. The projected balance stays above the ZAR 15700 minimum.
request_216,1279.38,not_affordable,not_recommended,none,,reduce_to:event_19942:0,Do not make this payment within the forecast. No available plan keeps the USD 1800 minimum protected.
request_217,33233.29,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-20,reduce_to:event_20044:0,Use 3 supplied installments. This keeps the ZAR 26800 minimum protected through the plan.
request_218,37942414.8,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-10-02,none,Use 3 supplied installments. This keeps the IDR 34477200 minimum protected through the plan.
request_219,1673.1,affordable_now,full_payment,2026-04-04:1673.1,2026-04-04,none,Pay EUR 1673.1 on 2026-04-04. The projected balance stays above the EUR 1100 minimum.
request_220,375.81,affordable_with_plan,partial_payment,2024-06-06:375.81|2024-07-03:2742.69,2024-07-03,reduce_to:event_20285:0,Pay EUR 375.81 now and the remaining amount by 2024-07-03.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 on 2025-11-03. The projected balance stays above the INR 81500 minimum.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 on 2026-01-05. The projected balance stays above the ZAR 27300 minimum.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 on 2024-09-07. The projected balance stays above the EUR 800 minimum.
request_224,10327000,affordable_now,full_payment,2025-02-04:10327000,2025-02-04,none,Pay IDR 10327000 on 2025-02-04. The projected balance stays above the IDR 22187600 minimum.
request_225,18749359.6,affordable_with_plan,partial_payment,2026-07-06:18749359.6|2026-09-21:3309640.4,2026-09-21,reduce_to:event_20621:0,Pay IDR 18749359.6 now and the remaining amount by 2026-09-21.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 on 2024-12-03. The projected balance stays above the INR 209400 minimum.
request_227,46722.79,not_affordable,not_recommended,none,,reduce_to:event_20826:0,Do not make this payment within the forecast. No available plan keeps the INR 62900 minimum protected.
request_228,11928965.52,affordable_with_plan,partial_payment,2026-04-07:11928965.52|2026-04-30:51398034.48,2026-04-30,reduce_to:event_20999:0,Pay IDR 11928965.52 now and the remaining amount by 2026-04-30.
request_229,743.52,not_affordable,not_recommended,none,,reduce_to:event_21004:0,Do not make this payment within the forecast. No available plan keeps the EUR 1000 minimum protected.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Pay EUR 3537.6 on 2025-08-06. The projected balance stays above the EUR 2000 minimum.
request_231,35706,affordable_now,full_payment,2026-01-03:35706,2026-01-03,none,Pay ZAR 35706 on 2026-01-03. The projected balance stays above the ZAR 24300 minimum.
request_232,1970.1,affordable_now,full_payment,2024-06-05:1970.1,2024-06-05,reduce_to:event_21405:22.23,Pay EUR 1970.1 on 2024-06-05. The projected balance stays above the EUR 2400 minimum.
request_233,6241000,affordable_now,full_payment,2025-11-07:6241000,2025-11-07,none,Pay IDR 6241000 on 2025-11-07. The projected balance stays above the IDR 10365700 minimum.
request_234,568.68,not_affordable,not_recommended,none,,reduce_to:event_21572:0,Do not make this payment within the forecast. No available plan keeps the EUR 700 minimum protected.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 on 2024-09-06. The projected balance stays above the USD 700 minimum.
request_236,15467543.26,affordable_with_plan,partial_payment,2025-02-03:15467543.26|2025-02-23:36915456.74,2025-02-23,reduce_to:event_21776:0,Pay IDR 15467543.26 now and the remaining amount by 2025-02-23.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 on 2026-04-05. The projected balance stays above the IDR 22431500 minimum.
request_238,663.6,affordable_now,full_payment,2024-12-07:663.6,2024-12-07,none,Pay USD 663.6 on 2024-12-07. The projected balance stays above the USD 700 minimum.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 on 2025-05-04. The projected balance stays above the USD 600 minimum.
request_240,40528.47,affordable_with_plan,partial_payment,2026-01-06:40528.47|2026-03-20:60671.53,2026-03-20,reduce_to:event_22123:0,Pay INR 40528.47 now and the remaining amount by 2026-03-20.
request_241,21052000,affordable_now,full_payment,2024-03-03:21052000,2024-03-03,none,Pay IDR 21052000 on 2024-03-03. The projected balance stays above the IDR 19252000 minimum.
request_242,412.43,not_affordable,not_recommended,none,,reduce_to:event_22276:0,Do not make this payment within the forecast. No available plan keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 on 2026-07-07. The projected balance stays above the ZAR 19900 minimum.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 on 2024-06-04. The projected balance stays above the ZAR 45900 minimum.
request_245,70783.99,not_affordable,not_recommended,none,,reduce_to:event_22571:0,Do not make this payment within the forecast. No available plan keeps the INR 94600 minimum protected.
request_246,64086,affordable_now,full_payment,2026-04-03:64086,2026-04-03,none,Pay ZAR 64086 on 2026-04-03. The projected balance stays above the ZAR 39300 minimum.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay EUR 1059.3 on 2024-09-05. The projected balance stays above the EUR 1300 minimum.
request_248,1547.86,affordable_with_plan,partial_payment,2025-02-07:1547.86|2025-04-28:417.74,2025-04-28,reduce_to:event_22786:0,Pay USD 1547.86 now and the remaining amount by 2025-04-28.
request_249,356.4,not_affordable,not_recommended,none,,reduce_to:event_22842:0,Do not make this payment within the forecast. No available plan keeps the USD 600 minimum protected.
request_250,31257.53,affordable_with_plan,partial_payment,2024-12-06:31257.53|2025-01-18:93020.47,2025-01-18,reduce_to:event_23010:0,Pay ZAR 31257.53 now and the remaining amount by 2025-01-18.
request_251,1513.6,affordable_now,full_payment,2025-05-03:1513.6,2025-05-03,none,Pay EUR 1513.6 on 2025-05-03. The projected balance stays above the EUR 1300 minimum.
request_252,9110500,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast. No available plan keeps the IDR 15152200 minimum protected.
request_253,2259.01,not_affordable,not_recommended,none,,reduce_to:event_23300:0,Do not make this payment within the forecast. No available plan keeps the EUR 2300 minimum protected.
request_254,1869.62,affordable_with_plan,partial_payment,2025-08-04:1869.62|2025-10-15:1665.58,2025-10-15,reduce_to:event_23347:0,Pay USD 1869.62 now and the remaining amount by 2025-10-15.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 on 2026-04-06. The projected balance stays above the IDR 9813900 minimum.
request_256,218700,affordable_now,full_payment,2024-06-03:218700,2024-06-03,none,Pay INR 218700 on 2024-06-03. The projected balance stays above the INR 168600 minimum.
request_257,1195.07,affordable_later,wait,2026-01-15:1352.4,2026-01-15,reduce_to:event_23669:0,Wait until 2026-01-15; paying earlier would risk the USD 1600 minimum.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 on 2026-01-07. The projected balance stays above the USD 500 minimum.
request_259,670.79,not_affordable,not_recommended,none,,reduce_to:event_23850:0,Do not make this payment within the forecast. No available plan keeps the EUR 600 minimum protected.
request_260,15016720.69,affordable_with_plan,partial_payment,2025-02-06:15016720.69|2025-04-18:37062279.31,2025-04-18,reduce_to:event_23956:0,Pay IDR 15016720.69 now and the remaining amount by 2025-04-18.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 on 2026-07-03. The projected balance stays above the EUR 1500 minimum.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 on 2024-12-05. The projected balance stays above the IDR 31018500 minimum.
request_263,15145.41,affordable_with_plan,partial_payment,2025-05-07:15145.41|2025-06-15:36400.59,2025-06-15,reduce_to:event_24177:0,Pay ZAR 15145.41 now and the remaining amount by 2025-06-15.
request_264,43920.12,not_affordable,not_recommended,none,,reduce_to:event_24307:0,Do not make this payment within the forecast. No available plan keeps the INR 59500 minimum protected.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 on 2024-03-06. The projected balance stays above the INR 189700 minimum.
request_266,935,affordable_now,full_payment,2025-08-03:935,2025-08-03,none,Pay EUR 935 on 2025-08-03. The projected balance stays above the EUR 900 minimum.
request_267,1925,affordable_now,full_payment,2026-01-05:1925,2026-01-05,none,Pay EUR 1925 on 2026-01-05. The projected balance stays above the EUR 1500 minimum.
request_268,1606.5,not_affordable,not_recommended,none,,reduce_to:event_24712:0,Do not make this payment within the forecast. No available plan keeps the EUR 1400 minimum protected.
request_269,15490,affordable_now,full_payment,2025-11-04:15490,2025-11-04,none,Pay ZAR 15490 on 2025-11-04. The projected balance stays above the ZAR 23100 minimum.
request_270,591.7,not_affordable,not_recommended,none,,reduce_to:event_24886:0,Do not make this payment within the forecast. No available plan keeps the USD 1400 minimum protected.
request_271,89199.51,not_affordable,not_recommended,none,,reduce_to:event_24905:0,Do not make this payment within the forecast. No available plan keeps the INR 58200 minimum protected.
request_272,9273589.38,not_affordable,not_recommended,none,,reduce_to:event_24997:0,Do not make this payment within the forecast. No available plan keeps the IDR 7508600 minimum protected.
request_273,14941601.74,affordable_with_plan,partial_payment,2026-04-07:14941601.74|2026-06-15:919398.26,2026-06-15,reduce_to:event_25136:0,Pay IDR 14941601.74 now and the remaining amount by 2026-06-15.
request_274,2713.7,affordable_now,full_payment,2024-12-04:2713.7,2024-12-04,none,Pay EUR 2713.7 on 2024-12-04. The projected balance stays above the EUR 1800 minimum.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 on 2025-05-06. The projected balance stays above the IDR 12760100 minimum.
